y,v,y_next,v_next
0.6946,-0.1693,0.6721,-0.5613
0.6721,-0.5613,0.6340,-0.9533
0.6340,-0.9533,0.5802,-1.3453
0.5802,-1.3453,0.5107,-1.7373
0.5107,-1.7373,0.5000,1.2776
0.5000,1.2776,0.5354,0.8856
0.5354,0.8856,0.5552,0.4936
0.5552,0.4936,0.5592,0.1016
0.5592,0.1016,0.5476,-0.2904
0.5476,-0.2904,0.5203,-0.6824
0.5203,-0.6824,0.5000,0.6446
0.5000,0.6446,0.5101,0.2526
0.5101,0.2526,0.5045,-0.1394
0.5045,-0.1394,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
4.9409,0.0000,4.9252,-0.3920
4.9252,-0.3920,4.8939,-0.7840
4.8939,-0.7840,4.8468,-1.1760
4.8468,-1.1760,4.7841,-1.5680
4.7841,-1.5680,4.7057,-1.9600
4.7057,-1.9600,4.6116,-2.3520
4.6116,-2.3520,4.5019,-2.7440
4.5019,-2.7440,4.3764,-3.1360
4.3764,-3.1360,4.2353,-3.5280
4.2353,-3.5280,4.0785,-3.9200
4.0785,-3.9200,3.9060,-4.3120
3.9060,-4.3120,3.7179,-4.7040
3.7179,-4.7040,3.5140,-5.0960
3.5140,-5.0960,3.2945,-5.4880
3.2945,-5.4880,3.0593,-5.8800
3.0593,-5.8800,2.8084,-6.2720
2.8084,-6.2720,2.5419,-6.6640
2.5419,-6.6640,2.2596,-7.0560
2.2596,-7.0560,1.9617,-7.4480
1.9617,-7.4480,1.6481,-7.8400
1.6481,-7.8400,1.3188,-8.2320
1.3188,-8.2320,0.9739,-8.6240
0.9739,-8.6240,0.6132,-9.0160
0.6132,-9.0160,0.5000,5.6448
0.5000,5.6448,0.7101,5.2528
0.7101,5.2528,0.9045,4.8608
0.9045,4.8608,1.0833,4.4688
1.0833,4.4688,1.2464,4.0768
1.2464,4.0768,1.3938,3.6848
1.3938,3.6848,1.5255,3.2928
1.5255,3.2928,1.6415,2.9008
1.6415,2.9008,1.7419,2.5088
1.7419,2.5088,1.8265,2.1168
1.8265,2.1168,1.8955,1.7248
1.8955,1.7248,1.9488,1.3328
1.9488,1.3328,1.9865,0.9408
1.9865,0.9408,2.0084,0.5488
2.0084,0.5488,2.0147,0.1568
2.0147,0.1568,2.0053,-0.2352
2.0053,-0.2352,1.9802,-0.6272
1.9802,-0.6272,1.9394,-1.0192
1.9394,-1.0192,1.8830,-1.4112
1.8830,-1.4112,1.8108,-1.8032
1.8108,-1.8032,1.7230,-2.1952
1.7230,-2.1952,1.6196,-2.5872
1.6196,-2.5872,1.5004,-2.9792
1.5004,-2.9792,1.3655,-3.3712
1.3655,-3.3712,1.2150,-3.7632
1.2150,-3.7632,1.0488,-4.1552
1.0488,-4.1552,0.8669,-4.5472
0.8669,-4.5472,0.6693,-4.9392
0.6693,-4.9392,0.5000,3.1987
0.5000,3.1987,0.6123,2.8067
0.6123,2.8067,0.7089,2.4147
0.7089,2.4147,0.7898,2.0227
0.7898,2.0227,0.8550,1.6307
0.8550,1.6307,0.9045,1.2387
0.9045,1.2387,0.9384,0.8467
0.9384,0.8467,0.9566,0.4547
0.9566,0.4547,0.9591,0.0627
0.9591,0.0627,0.9459,-0.3293
0.9459,-0.3293,0.9171,-0.7213
0.9171,-0.7213,0.8726,-1.1133
0.8726,-1.1133,0.8123,-1.5053
0.8123,-1.5053,0.7365,-1.8973
0.7365,-1.8973,0.6449,-2.2893
0.6449,-2.2893,0.5376,-2.6813
0.5376,-2.6813,0.5000,1.8440
